"sep=;";;;
Body Region;Procedure (Order As);Reason for Exam;CPT Code
<u>BREAST</u>:<br>AUTOMATED BREAST ULTRASOUND/ABUS (AGE: 30 OR GREATER);US Screening Auto Whole Breast Bil -MRS<br>US Screening Auto Whole Breast Lt -MRS<br>US Screening Auto Whole Breast Rt -MRS;Dense Breasts diagnosed at Screening Mammogram;AWBUS<br><i>(Always ordered bilaterally)</i>
<u>BREAST</u>:<br>DIAGNOSTIC MAMMOGRAM AND TARGETED BREAST ULTRASOUND OF THE AFFECTED SIDE (AGE: 30 OR GREATER);MA Mammo Diag w Tomo Bil - MRS<br>MA Mammo Diag w Tomo Implt Bil - MRS<br>MA Mammo Diag w Tomo Implt Lt - MRS<br>MA Mammo Diag w Tomo Implt Rt - MRS<br>MA Mammo Diag w Tomo Lt - MRS<br>MA Mammo Diag w Tomo Rt - MRS<br>US Breast Ltd Lt - MRS<br>US Breast Ltd Rt - MRS<br>US Breast Ltd Bilat - MRS;Focal Pain or Focal Abnormality;<u>3D/Tomo Mammo</u> 77061 unilat<br><br>77062 bilat<br><br><u>Ultrasound</u> 76642 Unilat/Bilat
<u>BREAST</u>:<br>MAMMOGRAM SCREENING (AGE: 30 OR GREATER);MA Mammo Screening w Tomo Bil - MRS<br>MA Mammo Screening w Tomo Impl Bil - MRS<br>MA Mammo Screening w Tomo Implt Lt - MRS<br>MA Mammo Screening w Tomo Implt Rt - MRS<br>MA Mammo Screening w Tomo Lt - MRS<br>MA Mammo Screening w Tomo Rt - MRS;Screening, Asymptomatic, Nonfocal symptoms such as Diffuse Breast Pain or Diffuse Lumpiness;77063
<u>BREAST</u>:<br>STEREOTACTIC BREAST BIOPSY, ULTRASOUND GUIDED BREAST BIOPSY;US Bx Breast 1st Lesion Lt - MRS<br>US Bx Breast 1st Lesion Rt - MRS<br>US Bx Lymph Node Super - MRS<br>US Aspiration Cyst Breast 1st - MRS<br>MA Breast Bx Stereo Perc Lt - MRS<br>MA Breast Bx Stereo Perc Rt - MRS<br>MR Bx Breast 1st Lesion Lt - MRS<br>MR Bx Breast 1st Lesion Rt - MRS;Birads 4 on prior Breast Imaging Exam;Stereo 19081 unilat<br><br>US Bx 19083 unilat<br><br>US Bx Lymph 38505 unilat<br><br>US Asp 19000 unilat<br><br>MR Breast Bx 19085
<u>BREAST</u>:<br>TARGETED BREAST ULTRASOUND FOR EACH AFFECTED SIDE (AGE: LESS THAN 30);US Breast Ltd Lt - MRS<br>US Breast Ltd Rt - MRS<br>US Breast Ltd Bilat - MRS;Focal Pain or Focal Abnormality;76642 unilat
ABDOMEN (KUB);XR Abdomen AP;AP view only;74018
ABDOMEN WITH LIVER ELASTOGRAPHY;US Abdomen Comp w Liver Elast<br>US Abdomen Ltd w Liver Elast;Liver Disease, Liver Fibrosis, Cirrhosis;76700 Comp<br>76981 Ltd
ABDOMEN, INGUINAL CANAL, GROIN;US Abdomen Limited;Inguinal Hernia, Mass, Lymphadenopathy, RLQ Pain, RUQ Pain, Appendicitis, Assess Gallbladder Bile Ducts, Splenomegaly;76705
ABDOMEN, PELVIS, EXTREMITY;CT Angio Aorta with Runoff;Peripheral Artery Disease, Lower Extremity Claudication, Abnormal ABI;75635
ABDOMEN, PELVIS, VASCULAR;<u>Order 4 Exams</u>:<br>MR Angio Abdomen wo+w Con<br>MR Angio Pelvis wo+w Con<br>MR Angio Lower Extrem wo+w Con Lt<br>MR Angio Lower Extrem wo+w Con Rt;Peripheral Vascular Disease, Claudication, Peripheral Runoff, (ONLY if CT unavailable or contraindicated);<u>Order 4 Exams</u>:<br>74185<br>72198<br>73725<br>73725
