"sep=;";;;;;
Protocol;Anatomy;Procedure (Order As);Clinical Indications;Durations;Prep
<a href='https://drive.google.com/file/d/11arpYwKj2OLMv8Ke7-Nk4lXenHQ5aT0Y/view' target='_blank'>DHAI US 100 AORTA SCREEN</a>;ABDOMEN;US AAA Screening;Screening Study, No known AAA prior to exam, Aorta evaluation;30 min;FASTED
<a href='https://drive.google.com/file/d/1VDQ2NkgsA14SavpFsYjowIB4pRZTEd56/view' target='_blank'>DHAI US 101 ABD COMP</a>;ABDOMEN;US Abdomen Complete;Abdominal, flank and/or back pain, Gallbladder, Abnormal Labs, Mass, Hepatitis, Cirrhosis, Splenomegaly, Ascites, Fever and Infection, Unexplained weight loss, Abdominal trauma, suspected congenital abnormalities, Pretransplant, Planning for and guiding an invasive procedure;30 min;FASTED
<a href='https://drive.google.com/file/d/1A_G-cgxoAFkBq63czpBD-wyP0uzTuZKB/view' target='_blank'>DHAI US 102 ABD RETRO COMBO</a>;ABDOMEN;TBA;This protocol applies to same-day Abdomen and Retroperitoneal studies;TBA;FASTED w/ WATER PREP
<a href='https://drive.google.com/file/d/1g3G3vEBkHU8RLB8Zi4giXwzUvCzMe2vj/view' target='_blank'>DHAI US 103 ABD COMP ELASTO</a>;ABDOMEN;US Abdomen Comp w Liver Elast;Liver Disease, Liver Fibrosis, Cirrhosis;45 min;FASTED
<a href='https://drive.google.com/file/d/1V9T64gxzN_MpuJY6MWrlHyLg3xSXBmlB/view' target='_blank'>DHAI US 104 ABD LTD ELASTO</a>;ABDOMEN;US Abdomen Ltd w Liver Elast;Liver Disease, Liver Fibrosis, Cirrhosis;45 min;FASTED
<a href='https://drive.google.com/file/d/1OGD9VLDck0ZZUXvCLzhc5E68DKQdVtbn/view' target='_blank'>DHAI US 105 ABD RUQ</a>;ABDOMEN;US Abdomen Limited;Abdominal, flank and/or back pain, Gallbladder, Abnormal Labs, Mass, Hepatitis, Cirrhosis, Ascites, Fever and Infection, Unexplained weight loss, Abdominal trauma, suspected congenital abnormalities, Pretransplant, Planning for and guiding an invasive procedure;30 min;FASTED
<a href='https://drive.google.com/file/d/10gWyltlezQ9oLA2W5xw6jNkxGI0piJPt/view' target='_blank'>DHAI US 106 ABD GB</a>;ABDOMEN;US Abdomen Limited;Reassess Gallbladder, Bile Ducts, follow up polyp;30 min;FASTED
<a href='https://drive.google.com/file/d/1xIFdRrWej4G_I3DiiDXvbZX2jLYLQCp-/view' target='_blank'>DHAI US 107 ABD WALL</a>;ABDOMEN;US Abdomen Limited;Possible inguinal/Groin Hernia, Mass, Pain, or Lymphadenopathy;30 min;NO PREP
<a href='https://drive.google.com/file/d/1QXFKOM_4G1pE2nSAicB6tNiI7Dk74cSJ/view' target='_blank'>DHAI US 108 ABD RLQ/APPENDIX</a>;ABDOMEN;US Abdomen Limited;RLQ Pain, Suspected Appendicitis;30 min;FASTED PREFERRED
<a href='https://drive.google.com/file/d/1B4-mb-G6Ord6ZntZBXH7oLN32bJoliA8/view' target='_blank'>DHAI US 109 ABD LUQ</a>;ABDOMEN;US Abdomen Limited;LUQ Pain, Splenomegaly, Left Flank Pain;30 min;
